State1Abbr,State2Abbr,State1,State2,dyadid,S1region,S2region,S1division,S2division,Border,Distance,State1_Lat,State1_Long,State2_Lat,State2_Long,ACS_Migration,PopDif,State1_Pop,State2_Pop,IncomingFlights,IRS_migration,Income,IRS_migration_2010,Income_2010,Imports,GSPDif,S1GSP,S2GSP,DemDif,S1AvgDem,S2AvgDem,S1SenDemProp,S1HSDemProp,S2SenDemProp,S2HSDemProp,IdeologyDif,PIDDif,S1Ideology,S1PID,S2Ideology,S2PID,policy_diffusion_tie,policy_diffusion_2015,policy_diffusion_2000.2015,ProfDif,S1_professionalism,S2_professionalism,LibDif,ELibDif,SLibDif,S1EconomicLiberalism,S1SocialLiberalism,S2EconomicLiberalism,S2SocialLiberalism,MassSocLibDif,MassEconLibDif,PolSocLibDif,PolEconLibDif,State1PolSocLib,State1PolEconLib,State1MassSocLib,State1MassEconLib,State2PolSocLib,State2PolEconLib,State2MassSocLib,State2MassEconLib,perceived_similarity,fb_friend_index,RaceDif,LatinoDif,WhiteDif,BlackDif,AsianDif,NativeDif,S1Latino,S1White,S1Black,S1Asian,S1Native,S2Latino,S2White,S2Black,S2Asian,S2Native,ReligDif,ChristianDif,EvangelicalDif,MainlineDif,BPDif,CatholicDif,MormonDif,JewishDif,MuslimDif,BuddhistDif,HinduDif,NonesDif,NPDif,ReligiosityDif,S1Christian,S1Evangelical,S1Mainline,S1BlackProt,S1Catholic,S1Mormon,S1Jewish,S1Muslim,S1Buddhist,S1Hindu,S1Nones,S1NothingParticular,S1HighlyReligious,S2Christian,S2Evangelical,S2Mainline,S2BlackProt,S2Catholic,S2Mormon,S2Jewish,S2Muslim,S2Buddhist,S2Hindu,S2Nones,S2NothingParticular,S2HighlyReligious
AL,AK,Alabama,Alaska,AL-AK,South,West,East South Central,Pacific,0,4594.366751,32.361538,-86.279118,58.301935,-134.41974,528,4088469,4819343,730874,75,"7,698","$147,372 ",528,9214,299719.8,155221,205625,50404,-0.07857143,0.27142857,0.35,0.22857143,0.31428571,0.3,0.4,0.31610168,0.14324945,-0.03389831,-0.33043477,-0.34999999,-0.47368422,0,0,0,-0.156,0.071,0.227,NA,NA,NA,-0.0384034,-0.27149132,NA,NA,-0.38336566,-0.063642495,-1.486511079,-1.189052693,-1.577025097,-1.370212074,0.070219312,-0.524753631,-0.090514018,-0.181159381,0.453584972,-0.461111136,0.116279073,0.404354091,50.6,-2.9,4.9,23.8,-5.3,-13.7,0.041,0.655,0.267,0.013,0.005,0.07,0.606,0.029,0.066,0.142,74,24,27,1,13,-9,-4,0,0,-1,0,-19,-11,32,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77,0.62,0.22,0.12,0.03,0.16,0.05,0,0,0.01,0,0.31,0.2,0.45
AL,AZ,Alabama,Arizona,AL-AZ,South,West,East South Central,Mountain,0,2407.664753,32.361538,-86.279118,33.448457,-112.073844,1005,-2116015,4819343,6935358,0,"15,051","$339,243 ","1,005",23289,2065025161,-100224,205625,305849,-0.145238095,0.27142857,0.416666665,0.22857143,0.31428571,0.43333333,0.4,0.06866579,-0.10957587,-0.03389831,-0.33043477,-0.1025641,-0.2208589,20,1,7,-0.161,0.071,0.232,34.186113,1.230781,-32.955332,-0.0384034,-0.27149132,-0.05071121,0.058062,0.088692843,-0.149633063,0.272807875,-0.230999367,-1.577025097,-1.370212074,0.070219312,-0.524753631,-1.849832972,-1.139212707,-0.018473531,-0.375120568,0.067307696,3.978828374,66,-27.3,10.8,22.6,-1.9,-3.4,0.041,0.655,0.267,0.013,0.005,0.314,0.547,0.041,0.032,0.039,77,19,23,1,15,-14,-4,-2,-1,-1,-1,-15,-10,24,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77,0.67,0.26,0.12,0.01,0.21,0.05,0.02,0.01,0.01,0.01,0.27,0.19,0.53
AL,AR,Alabama,Arkansas,AL-AR,South,South,East South Central,West South Central,0,620.4272672,32.361538,-86.279118,34.736009,-92.331122,926,1850948,4819343,2968395,0,"17,858","$371,553 ",926,18692,2033899588,84242,205625,121383,-0.065714285,0.27142857,0.337142855,0.22857143,0.31428571,0.31428571,0.36,-0.11840535,-0.15900619,-0.03389831,-0.33043477,0.08450704,-0.17142858,7,0,0,-0.035,0.071,0.106,2.949804,-2.156186,-0.793618,-0.0384034,-0.27149132,-0.01684154,-0.26355514,-1.380855902,-0.073593929,-0.949245142,-0.148819839,-1.577025097,-1.370212074,0.070219312,-0.524753631,-0.627779955,-1.221392235,1.451075214,-0.451159702,0.34375,1.035885072,22,-3.3,-6.8,11.5,-0.3,-0.1,0.041,0.655,0.267,0.013,0.005,0.074,0.723,0.152,0.016,0.006,23,7,3,-3,8,-1,0,0,-2,0,0,-6,-4,7,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77,0.79,0.46,0.16,0.08,0.08,0.01,0,0.02,0,0,0.18,0.13,0.7
AL,CA,Alabama,California,AL-CA,South,West,East South Central,Pacific,0,3243.683732,32.361538,-86.279118,38.555605,-121.468926,3107,-34266641,4819343,39085984,72,"61,401","$1,364,538 ","3,107",66991,4463577970,-2417106,205625,2622731,-0.36607143,0.27142857,0.6375,0.22857143,0.31428571,0.625,0.65,-0.21372287,-0.27268829,-0.03389831,-0.33043477,0.17982456,-0.05774648,5,1,5,-0.555,0.071,0.626,46.08812,-3.115099,-42.973021,-0.0384034,-0.27149132,-0.00725241,0.15823889,-2.221865344,-0.543658933,-4.209596225,-2.929044048,-1.577025097,-1.370212074,0.070219312,-0.524753631,2.632571128,1.558831974,2.292084656,0.018905302,0.009852217,4.857060592,97.9,-35,28.5,21.2,-13.1,0.1,0.041,0.655,0.267,0.013,0.005,0.391,0.37,0.055,0.144,0.004,89,23,29,3,14,-21,0,-2,-1,-2,-2,-15,-9,28,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77,0.63,0.2,0.1,0.02,0.28,0.01,0.02,0.01,0.02,0.02,0.27,0.18,0.49
AL,CO,Alabama,Colorado,AL-CO,South,West,East South Central,Mountain,0,1868.073229,32.361538,-86.279118,39.7391667,-104.984167,1251,-722939,4819343,5542282,51,"19,956","$445,755 ","1,251",25235,497397159.4,-117019,205625,322644,-0.232967035,0.27142857,0.504395605,0.22857143,0.31428571,0.48571429,0.52307692,-0.15889831,-0.34536014,-0.03389831,-0.33043477,0.125,0.01492537,1,0,0,-0.131,0.071,0.202,44.423473,8.009753,-36.41372,-0.0384034,-0.27149132,-0.11850093,0.09264588,-2.046372808,-0.041284998,-2.067615291,-0.866416173,-1.577025097,-1.370212074,0.070219312,-0.524753631,0.490590194,-0.503795901,2.11659212,-0.483468633,0.031746034,1.249952191,44.8,-17.4,-2.7,22.8,-1.8,-0.1,0.041,0.655,0.267,0.013,0.005,0.215,0.682,0.039,0.031,0.006,58,22,23,-2,14,-9,-1,-1,0,-1,0,-7,-11,30,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77,0.64,0.26,0.15,0.02,0.16,0.02,0.01,0,0.01,0,0.19,0.2,0.47
AL,CT,Alabama,Connecticut,AL-CT,South,Northeast,East South Central,New England,0,1595.214602,32.361538,-86.279118,41.767,-72.677,327,1263046,4819343,3556297,328,"6,408","$187,112 ",327,9019,507969721.3,-54293,205625,259918,-0.29442868,0.27142857,0.56585725,0.22857143,0.31428571,0.55555556,0.57615894,-0.12031806,-0.51464529,-0.03389831,-0.33043477,0.08641975,0.18421052,5,0,3,-0.119,0.071,0.19,65.293236,-13.144804,-52.148432,-0.0384034,-0.27149132,0.09304464,0.249993,-2.606982953,-0.401067435,-3.859822223,-3.11158845,-1.577025097,-1.370212074,0.070219312,-0.524753631,2.282797126,1.741376376,2.677202265,-0.123686196,0.015151516,3.710046627,33.5,-12,-1.2,16.8,-3.2,0.3,0.041,0.655,0.267,0.013,0.005,0.161,0.667,0.099,0.045,0.002,94,16,36,-4,11,-26,0,-3,-1,-1,-1,-11,-5,34,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77,0.7,0.13,0.17,0.05,0.33,0.01,0.03,0.01,0.01,0.01,0.23,0.14,0.43
AL,DE,Alabama,Delaware,AL-DE,South,South,East South Central,South Atlantic,0,1229.899514,32.361538,-86.279118,39.161921,-75.526755,113,3866894,4819343,952449,0,"2,520","$60,775 ",113,2365,209052989.5,134172,205625,71453,-0.319163765,0.27142857,0.590592335,0.22857143,0.31428571,0.57142857,0.6097561,-0.27199355,-0.18757762,-0.03389831,-0.33043477,0.23809524,-0.14285715,56,1,16,-0.077,0.071,0.148,41.490343,-1.417263,-40.07308,-0.0384034,-0.27149132,-0.02423077,0.12923948,NA,NA,NA,NA,-1.577025097,-1.370212074,0.070219312,-0.524753631,NA,NA,NA,NA,0.01369863,3.606890547,16.7,-5.2,3.3,5.2,-2.7,0.3,0.041,0.655,0.267,0.013,0.005,0.093,0.622,0.215,0.04,0.002,81,17,34,-8,6,-15,1,-3,-1,0,-2,-11,-9,25,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77,0.69,0.15,0.21,0.1,0.22,0,0.03,0.01,0,0.02,0.23,0.18,0.52
AL,DC,Alabama,District of Columbia,AL-DC,South,NA,East South Central,NA,0,NA,32.361538,-86.279118,NA,NA,99,4134533,4819343,684810,0,"1,894","$61,549 ",99,4236,NA,79147,205625,126478,NA,0.27142857,NA,0.22857143,0.31428571,NA,NA,-0.66723164,-0.70080513,-0.03389831,-0.33043477,0.63333333,0.37037036,NA,NA,NA,NA,0.071,NA,NA,NA,NA,-0.0384034,-0.27149132,NA,NA,-1.433020974,-0.320054065,-2.649027921,-2.468973487,-1.577025097,-1.370212074,0.070219312,-0.524753631,1.072002824,1.098761413,1.503240286,-0.204699566,NA,24.23182854,57.5,-6.9,29,-18.6,-2.7,0.3,0.041,0.655,0.267,0.013,0.005,0.11,0.365,0.453,0.04,0.002,74,21,35,-2,4,-12,0,-4,-2,-2,-1,-12,-7,24,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77,0.65,0.14,0.15,0.12,0.19,0.01,0.04,0.02,0.02,0.01,0.24,0.16,0.53
AL,FL,Alabama,Florida,AL-FL,South,South,East South Central,South Atlantic,1,285.5241972,32.361538,-86.279118,30.4518,-84.27277,12305,-15953028,4819343,20772371,0,"216,322","$4,400,447 ","12,305",244721,6432677784,-720424,205625,926049,-0.06607143,0.27142857,0.3375,0.22857143,0.31428571,0.35,0.325,-0.02935286,-0.19468816,-0.03389831,-0.33043477,-0.00454545,-0.13574661,15,1,13,-0.152,0.071,0.223,32.094208,-4.961175,-27.133033,-0.0384034,-0.27149132,0.01120835,-0.00016099,-1.61652897,-0.136967247,-0.786697096,-0.250203344,-1.577025097,-1.370212074,0.070219312,-0.524753631,-0.790328001,-1.12000873,1.686748282,-0.387786384,0.10958904,11.32066334,46.3,-21.5,11.7,11.3,-1.5,0.3,0.041,0.655,0.267,0.013,0.005,0.256,0.538,0.154,0.028,0.002,63,16,25,-1,8,-14,0,-3,0,0,0,-12,-8,23,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77,0.7,0.24,0.14,0.08,0.21,0.01,0.03,0,0,0,0.24,0.17,0.54
AL,GA,Alabama,Georgia,AL-GA,South,South,East South Central,South Atlantic,1,235.1462864,32.361538,-86.279118,33.76,-84.39,15404,-5480154,4819343,10299497,606,"251,480","$5,113,780 ","15,404",260213,18581466056,-325677,205625,531302,-0.04980159,0.27142857,0.32123016,0.22857143,0.31428571,0.30357143,0.33888889,-0.03389831,-0.04653648,-0.03389831,-0.33043477,0,-0.28389829,40,1,16,-0.045,0.071,0.116,19.25826,6.763636,-12.494624,-0.0384034,-0.27149132,-0.10603976,-0.14654508,-0.854786368,-0.254078707,0.319332677,0.054587801,-1.577025097,-1.370212074,0.070219312,-0.524753631,-1.896357774,-1.424799875,0.92500568,-0.270674924,0.271186441,7.795900686,25.7,-5.5,12.9,-4.4,-2.6,0.3,0.041,0.655,0.267,0.013,0.005,0.096,0.526,0.311,0.039,0.002,22,7,11,1,-1,-2,0,-1,0,0,0,-6,-4,11,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77,0.79,0.38,0.12,0.17,0.09,0.01,0.01,0,0,0,0.18,0.13,0.66
